OBJECTID,FIRST_RURB,MUNICIPALI,REGION,ZIPCODE,PROVINCE,KM_DIST,BRGY,OLD_NAME,RUR_URB,DISTRICT,CITY_CLASS,INCOME_CLA,REG_VOTERS,LAND_AREA2,ISLAND1,ISLAND2,ISLAND3,TOTPOP2000,HSEPOP2000,HSEHOLDS20,TOTPOP2007,TOTPOP2010,SHAPE_LENG,SHAPE_AREA,GEOCODE,PGEOCODE
2673,RP072209,BANTAYAN,VII,6052,CEBU,"010",25,BANTAYAN,Partially Urban,4th,N,1st Class,37979,8168,VISAYAS,DOONG ISLAND,Doong Island,0,0,0,0,74785,0.09822724456,0.00033652214,"072209000","072200000"
2674,RP072209,BANTAYAN,VII,6052,CEBU,"010",25,BANTAYAN,Partially Urban,4th,N,1st Class,37979,8168,VISAYAS,DOONG ISLAND,Botiquis Island,0,0,0,0,74785,0.04173167763,9.37116e-05,"072209000","072200000"
2675,RP072209,BANTAYAN,VII,6052,CEBU,"010",25,BANTAYAN,Partially Urban,4th,N,1st Class,37979,8168,VISAYAS,BANTAYAN ISLAND,Panitugan Island,0,0,0,0,74785,0.03883970536,7.504569e-05,"072209000","072200000"
2676,RP072209,BANTAYAN,VII,6052,CEBU,"010",25,BANTAYAN,Partially Urban,4th,N,1st Class,37979,8168,VISAYAS,DOONG ISLAND,Botiquis Island,0,0,0,0,74785,0.00575912383,2.32201e-06,"072209000","072200000"
2677,RP072209,BANTAYAN,VII,6052,CEBU,"010",25,BANTAYAN,Partially Urban,4th,N,1st Class,37979,8168,VISAYAS,BANTAYAN ISLAND,Muamboc Island,0,0,0,0,74785,0.03699208248,5.894485e-05,"072209000","072200000"
2678,RP072209,BANTAYAN,VII,6052,CEBU,"010",25,BANTAYAN,Partially Urban,4th,N,1st Class,37979,8168,VISAYAS,DOONG ISLAND,Botiquis Island,0,0,0,0,74785,0.01317388211,7.80587e-06,"072209000","072200000"
2679,RP072209,BANTAYAN,VII,6052,CEBU,"010",25,BANTAYAN,Partially Urban,4th,N,1st Class,37979,8168,VISAYAS,GUINTACAN ISLAND,Silagan Island,0,0,0,0,74785,0.00655345008,2.96607e-06,"072209000","072200000"
2680,RP072209,BANTAYAN,VII,6052,CEBU,"010",25,BANTAYAN,Partially Urban,4th,N,1st Class,37979,8168,VISAYAS,GUINTACAN ISLAND,Silagan Island,0,0,0,0,74785,0.01209305925,1.014491e-05,"072209000","072200000"
2681,RP072209,BANTAYAN,VII,6052,CEBU,"010",25,BANTAYAN,Partially Urban,4th,N,1st Class,37979,8168,VISAYAS,GUINTACAN ISLAND,Silagan Island,0,0,0,0,74785,0.01676819387,1.722088e-05,"072209000","072200000"
2682,RP072209,BANTAYAN,VII,6052,CEBU,"010",25,BANTAYAN,Partially Urban,4th,N,1st Class,37979,8168,VISAYAS,BANTAYAN ISLAND,Hilotongan Island Island,0,0,0,0,74785,0.02966510294,4.366386e-05,"072209000","072200000"
2683,RP072209,BANTAYAN,VII,6052,CEBU,"010",25,BANTAYAN,Partially Urban,4th,N,1st Class,37979,8168,VISAYAS,BANTAYAN ISLAND,Bantayan Island,0,0,0,0,74785,0.01164926402,8.31457e-06,"072209000","072200000"
2684,RP072209,BANTAYAN,VII,6052,CEBU,"010",25,BANTAYAN,Partially Urban,4th,N,1st Class,37979,8168,VISAYAS,BANTAYAN ISLAND,Silian Island,0,0,0,0,74785,0.02280373358,3.236961e-05,"072209000","072200000"
2685,RP072209,BANTAYAN,VII,6052,CEBU,"010",25,BANTAYAN,Partially Urban,4th,N,1st Class,37979,8168,VISAYAS,DOONG ISLAND,Botiquis Island,0,0,0,0,74785,0.36942329325,0.00582324067,"072209000","072200000"
