OBJECTID,FIRST_RURB,MUNICIPALI,REGION,ZIPCODE,PROVINCE,KM_DIST,BRGY,OLD_NAME,RUR_URB,DISTRICT,CITY_CLASS,INCOME_CLA,REG_VOTERS,LAND_AREA2,ISLAND1,ISLAND2,ISLAND3,TOTPOP2000,HSEPOP2000,HSEHOLDS20,TOTPOP2007,TOTPOP2010,SHAPE_LENG,SHAPE_AREA,GEOCODE,PGEOCODE
2711,RP072226,LAPU-LAPU CITY,VII,6015,CEBU,"000",30,OPON,,lone,Y,1st Class,151815,5810,VISAYAS,MACTAN ISLAND,Mactan Island,0,0,0,0,350467,0.03315977432,4.01085e-05,"072226000","072200000"
2712,RP072226,LAPU-LAPU CITY,VII,6015,CEBU,"000",30,OPON,,lone,Y,1st Class,151815,5810,VISAYAS,MACTAN ISLAND,Mactan Island,0,0,0,0,350467,0.01870511021,1.925949e-05,"072226000","072200000"
2713,RP072226,LAPU-LAPU CITY,VII,6015,CEBU,"000",30,OPON,,lone,Y,1st Class,151815,5810,VISAYAS,MACTAN ISLAND,Mactan Island,0,0,0,0,350467,0.01517369393,1.066513e-05,"072226000","072200000"
2714,RP072226,LAPU-LAPU CITY,VII,6015,CEBU,"000",30,OPON,,lone,Y,1st Class,151815,5810,VISAYAS,OLANGO ISLAND,Olango Island,0,0,0,0,350467,0.32726863095,0.00097645735,"072226000","072200000"
2715,RP072226,LAPU-LAPU CITY,VII,6015,CEBU,"000",30,OPON,,lone,Y,1st Class,151815,5810,VISAYAS,MACTAN ISLAND,Mactan Island,0,0,0,0,350467,0.44996165387,0.00404160799,"072226000","072200000"
2716,RP072226,LAPU-LAPU CITY,VII,6015,CEBU,"000",30,OPON,,lone,Y,1st Class,151815,5810,VISAYAS,MACTAN ISLAND,Mactan Island,0,0,0,0,350467,0.00900777596,5.37154e-06,"072226000","072200000"
2717,RP072226,LAPU-LAPU CITY,VII,6015,CEBU,"000",30,OPON,,lone,Y,1st Class,151815,5810,VISAYAS,MACTAN ISLAND,Mactan Island,0,0,0,0,350467,0.00767275625,3.30266e-06,"072226000","072200000"
2718,RP072226,LAPU-LAPU CITY,VII,6015,CEBU,"000",30,OPON,,lone,Y,1st Class,151815,5810,VISAYAS,MACTAN ISLAND,Mactan Island,0,0,0,0,350467,0.01884945776,1.470219e-05,"072226000","072200000"
2720,RP072227,LILOAN,VII,6002,CEBU,"019",14,LILOAN,Urban,5th,N,1st Class,45344,4592,VISAYAS,CEBU ISLAND,Cebu Island,64970,63596,13381,92181,100500,0.43454179503,0.00503753131,"086406000","086400000"
2721,RP072231,MEDELLIN,VII,6012,CEBU,"119",19,MEDELIN,Partially Urban,4th,N,2nd Class,26517,7319,VISAYAS,CEBU ISLAND,Cebu Island,43113,43109,8520,44860,50047,0.00336855384,8.0189e-07,"072231000","072200000"
