X,Y,id,@id,FIXME,access,addr2:street,addr:barangay,addr:building,addr:city,addr:country,addr:district,addr:flats,addr:floor,addr:hamlet,addr:housename,addr:housenumber,addr:locality,addr:neighbourhood,addr:place,addr:postcode,addr:province,addr:quarter,addr:region,addr:street,addr:street:corner,addr:subdivision,addr:suburb,addr:town,addr:unit,addr:village,address,admin_level,air_conditioning,alt_name,alt_name:ja-Latn,amenity,artwork_subject,artwork_type,atm,attraction,bar,barrier,basilica,beauty,bicycle_parking,boundary,branch,brand,brand:en,brand:facebook,brand:instagram,brand:ko,brand:twitter,brand:website,brand:wikidata,brand:wikipedia,brand:wikipedia:es,brewery,building,building:levels,building:min_level,building:part,building_1,bureau_de_change,bus,capacity,capacity:2013,cargo,cash_in,charge,check_date,check_date:currency:XBT,church,clothes,community:gender,community_centre,compressed_air,congregation,consulate,contact:email,contact:facebook,contact:instagram,contact:mobile,contact:phone,contact:phone2,contact:tiktok,contact:twitter,contact:website,contributor:ph,country,covered,craft,cuisine,currency:PHP,currency:XBT,currency:others,delivery,denomination,description,device_charging,device_charging:capacity,device_charging:fee,diet:Pancit,diet:keto,diet:local,diet:vegan,diet:vegetarian,diplomatic,diplomatic:services:citizen_services,diplomatic:services:immigrant_visas,diplomatic:services:non-immigrant_visas,diplomatic:services:passport,dispensing,drinkable,drinking_water,drive_through,dry_cleaning,education_program,ele,email,emergency,events_venue,facebook,fast_food,fax,fee,fee:car,female,fence_type,ferry,fine:smoking,fixme2,fountain,fuel:biodiesel,fuel:diesel,fuel:e10,fuel:gasoline,fuel:lpg,fuel:octane_91,fuel:octane_95,fuel:octane_98,fuel:premium,fuel:unleaded,garden:type,generator:output:electricity,generator:source,generator:type,government,grades,group_only,healthcare,healthcare:speciality,height,heritage,historic,hoops,horse,image,indoor,indoor_seating,infection:hiv,information,internet_access,internet_access:fee,is_in,isced:level,jeepney,landuse,language:de,language:en,laundry_service,lawyer,layer,leisure,level,levels,lgbtq,lit,location,male,man_made,manometer,manual,mapillary,maxheight,microbrewery,min_age,monastery:type,money_transfer,mooring,motor_vehicle,name,name:abbr,name:ar,name:ceb,name:de,name:en,name:es,name:etymology,name:etymology:wikidata,name:fil,name:fr,name:he,name:it,name:ja,name:ja-Hira,name:ja-Latn,name:ja_kana,name:ko,name:kr,name:la,name:nl,name:no,name:pt,name:ru,name:simple,name:sv,name:tl,name:zh,nat_name,network,not:brand:wikidata,note,note:covid19,note:de,office,official_name,official_name:de,official_name:en,official_name:es,old_name,old_ref,opening_hours,opening_hours:covid19,operator,operator:en,operator:ru,operator:short,operator:tl,operator:type,operator:wikidata,operator:wikipedia,osm_id,outdoor,outdoor_seating,park_ride,parking,parking:orientation,parts,payment:american_express,payment:cards,payment:cash,payment:cheque,payment:coins,payment:contactless,payment:credit_cards,payment:debit_cards,payment:electronic_purses,payment:gcash,payment:lightning,payment:mastercard,payment:notes,payment:onchain,payment:visa,payment:wire_transfer,ph:contributor,phone,population:pupils:2012,population:pupils:2015,previously,proposed:shop,protect_class,public_transport,recycling_type,ref,region,religion,rental,repair,reservation,roof:colour,roof:shape,rooms,ruins,safety:hand_sanitizer:covid19,safety:mask:covid19,sale,screen,second_hand,self_service,service,service:bicycle:chain_tool,service:bicycle:cleaning,service:bicycle:cleaning:fee,service:bicycle:diy,service:bicycle:pump,service:bicycle:rental,service:bicycle:repair,service:bicycle:retail,service:bicycle:stand,service:bicycle:tools,service:vehicle:car_parts,service:vehicle:car_repair,service:vehicle:diagnostics,service:vehicle:new_car_sales,service:vehicle:repairs,service:vehicle:used_car_sales,service_times,shelter_type,shop,short_name,short_name:en,short_name:ja,shortest_name,smoking,smoothness,social_centre:for,social_facility,social_facility:for,source,source:date,source:feature,source:name,source:opening_hours,source:operator,source:ph,source_ref,specialized_education,sport,stars,start_date,strapline,studio,supervised,surface,survey:date,swimming_pool,takeaway,target,temporary,tents,timestamp,toilets,toilets:access,toilets:disposal,toilets:position,tomb,tourism,townhall:type,trade,type,unisex,url,vending,waterway,website,wheelchair,wifi,wikidata,wikimedia_commons,wikipedia
,,relation/11762939,relation/11762939,,,,,,Cebu,,,,,,,,,Tiguib,,,Cebu,,,,,,,,,Malubog,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-3,,,,,,,,,,,,,,,,,,,,,,,,,,Malubog Integrated School — High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Busay National High School – Malubog Extension,,,,"North District 3 Cebu City Schools Division, DepEd",,,,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,"208","208",,,,,,"312512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Department of Education, Philippines","2012",,,,,,,,,,"2002",,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,
,,relation/11762940,relation/11762940,,,,,,Cebu,,,,,,,,,Tiguib,,,Cebu,,,Gorordo Avenue,,,,,,Malubog,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,Malubog Integrated School — Elementary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malubog Elementary School,,,,"North District 3 Cebu City Schools Division, DepEd",,,,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,"481","532",,,,,,"119894",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Department of Education, Philippines","2012",,,,,,,,,,"1940",,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,
,,relation/12277630,relation/12277630,,,,,,,,,,,,,,,,,,,,,Gorordo Avenue,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UP High School – Cebu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,
,,relation/12277631,relation/12277631,,,,,,Cebu,,,,,,,,,,,"6000",,,,Gorordo Avenue,,,,,,,,,,,,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of the Philippines Cebu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,https://upcebu.edu.ph/,,,,,
,,relation/12288761,relation/12288761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,college,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cebu Eastern College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,
,,relation/12556602,relation/12556602,,,,,,Cebu City,,,,,,,,,,,"6000",,,,Villa Aznar Road,,,,,,,,,,,,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Southwestern University PHINMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWU PHINMA,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,https://www.swu.edu.ph/,,,,,
,,relation/12657522,relation/12657522,,,,,,Cebu,,,,,,,,,,,,Cebu,,,Panganiban Street,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,Regino Mercado Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North District 5 Cebu City Schools Division, DepEd",,,,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1446","1601",,,,,,"119930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Department of Education, Philippines","2012",,,,,,,,,,"1960",,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,
,,relation/12657643,relation/12657643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10",,,,townhall,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,Labangon Barangay Government Complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,barangay,,multipolygon,,,,,,,,,,
,,relation/12657644,relation/12657644,,,,,,Cebu,,,,,,,,,,,,Cebu,,,Katipunan Street,,,,,,Labangon,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,Labangon Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"South District 4 Cebu City Schools Division, DepEd",,,,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3235","3585",,,,,,"119886",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Department of Education, Philippines","2012",,,,,,,,,,"2005",,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,
,,relation/12658509,relation/12658509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taboan Public Market,,marketplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tabo-an Public Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,
