X,Y,id,@id,FIXME,access,access:conditional,addr:city,addr:postcode,addr:street,alt_name,area,bicycle,bridge,bridge:name,bridge:structure,bus,bus_bay,car,change:lanes,check_date,construction,contributor:ph,conveying,covered,crossing,crossing:markings,crossing_ref,cycleway,cycleway:both,cycleway:lane,cycleway:left,cycleway:right,cycleway:right:width,description,designation,destination,destination:backward,destination:forward,destination:ref,destination:street,driveway,fine:change:lanes,fine:turn:lanes,fixme2,flood_prone,foot,foot:conditional,footway,goods,handrail,handrail:center,handrail:left,handrail:right,hazmat,hgv,hgv:lanes,highway,horse,incline,indoor,junction,lane_markings,lanes,lanes:backward,lanes:forward,layer,level,lit,loc_name,man_made,mapillary,maxheight,maxspeed,maxspeed:type,maxweight,motor_vehicle,motor_vehicle:conditional,motorcar,motorcycle,motorcycle:lanes,mtb:scale,mtb:scale:uphill,name,name:abbr,name:en,name:es,name:etymology,name:etymology:wikidata,name:ja,name:tl,name:zh,name:zh-Hant,narrow,nat_name,noname,note,note:2022,old_name,oln,oneway,oneway:bicycle,oneway:foot,overtaking,parking:both,parking:lane:both,paved,postal_code,proposed,ramp,ramp:bicycle,ref,reg_name,sac_scale,segregated,service,short_name,sidewalk,smoothness,source,source:name,source:name:mapillary,source:nat_name,source:ref,source_ref,start_date,status,step_count,surface,tactile_paving,toll,tracktype,traffic_calming,trail_visibility,tree_lined,truck,tunnel,tunnel:name,turn:lanes,turn:lanes:backward,turn:lanes:forward,type,vehicle:conditional,website,wheelchair,width,wikidata,wikipedia
,,way/25937225,way/25937225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secondary,,,,,yes,"4",,,,,yes,,,,,"50",,,,,,,,,,Gorordo Avenue,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,way/28817564,way/28817564,,,,,,,,,,,,,,,,,,,,,,,,,lane,,exclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,,,,,yes,"4",,,,,yes,,,,,"50",,,,,,,,,,M.J. Cuenco Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,,,,,,,,,,dpwh,,,,,asphalt,,,,,,,,,,,,,,,,,,,
,,way/28817778,way/28817778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unclassified,,,,,,"2",,,,,,,,,,,,,,,,,,,,3rd Street,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,,,,,,,,,,,,,,,,,,,
,,way/28833617,way/28833617,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,national_secondary_road,,,,,,,,,,,no,,,,,,,,no,,,trunk,,,,,,"2",,,"-1",,yes,,,,,"40",,,,,,,,,,Cebu South Coastal Road,,,,,,,,,,,Cebu South Coastal Road,,,,,,yes,,,,,,,,,,,"840",,,,,,,,,,,,,,,,,concrete,,,,,,,,yes,Cebu South Coastal Road Tunnel,,,,,,,,,,
,,way/28833618,way/28833618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,,,,,yes,"3",,,,,yes,,,,,"50",,,,,,,,,,Juan Luna Avenue,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,"815",,,,,,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,way/28834353,way/28834353,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secondary,,,,,,"4",,,"1",,,,,,,"50",,,,,,,,,,Archbishop Reyes Flyover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,
,,way/28834354,way/28834354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secondary,,,,,,"4",,,,,,,,,,"50",,,,,,,,,,Archbishop Reyes Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,way/28834962,way/28834962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tertiary,,,,,,,,,,,,,,,,,,,,,,,,,,F. Ramos Extension,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,way/28908647,way/28908647,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,national_secondary_road,,,,,,,,,,,yes,,,,,,,,,,,trunk,,,,,,"3",,,,,,,,,,"60",,,,,,,,,,Sergio Osmeña Avenue,,,,,,,,,,,S. Osmeña Bouelvard,,,,,,yes,,,,,,,,,,,"840",,,,,,right,,,,,,,,,,,concrete,,,,,,,,,,,,,,,,,,,
,,way/28909509,way/28909509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tertiary,,,,,,,,,,,,,,,,"40",,,,,,,,,,Dionisio Jakosalem Street,,,,Dionisio Abella Jakosalem,Q12899662,,,,,,,,,,,,no,,,,,,,,,,,,,,,,D. Jakosalem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
